agency,id,title,alt,logo
FEMA,FEMA,Federal Emergency Management Agency (FEMA),FEMA,FEMA.jpg
USACE,USACE,United States Army Corps of Engineers (USACE),USACE,usace.png
DLCD,DLCD,Oregon Department of Land Conservation &amp; Development (DLCD),DLCD,oregon-DLCD.png
DOGAMI,DOGAMI,Oregon Department of Geology and Mineral Industries (DOGAMI),DOGAMI,dogami.jpg
NOAA,NOAA,National Oceanic and Atmospheric Adminstration (NOAA),NOAA,noaa.png
NRCS,NRCS,National Resources Conservation Service (NRCS),NRCS,nrcs.png
USGS,USGS,United States Geological Survey (USGS),USGS,usgs.png
